[Звук]	[Хороший-плохой][Большой-маленький]	[Нежный-грубый]	[Женственный-мужественный]	[Светлый-тёмный][Активный-пассивный]	[Простой-сложный]	[Сильный-слабый][Горячий-холодный]	[Быстрый-медленный]	[Красивый-отталкивающий][Гладкий-шероховатый]	[Легкий-тяжелый][Веселый-грустный]	[Безопасный-страшный]	[Величественный-низменный]	[Яркий-тусклый]	[Округлый-угловатый]	[Радостный-печальный]	[Громкий-тихий]	[Длинный-короткий]	[Храбрый-трусливый]	[Добрый-злой]	[Могучий-хилый]	[Подвижный-медлительный][Частотность]
в	2.9		2.1			3.6		3.9				3.0		2.4			2.4			1.9		2.4			2.4			3.0			3.5			3.3		2.5			3.3			1.8				2.7		2.9			2.3			2.2		3.8			2.5			2.8		1.8		2.6			0.028
с	3.6		3.5			3.2		3.1				2.5		3.2			3.0			3.1		3.3			3.0			3.9			3.6			2.4		2.9			3.2			3.6				3.8		3.1			3.5			3.8		3.7			4.0			3.9		3.5		3.5			0.032
а	1.5		1.8			2.8		3.7				2.2		2.1			1.4			2.6		3.2			3.4			2.0			1.6			2.3		2.7			2.6			2.0				2.0		1.4			1.9			1.9		1.8			1.8			2.0		1.8		2.9			0.049
а\	1.5		1.8			2.8		3.7				2.2		2.1			1.4			2.6		3.2			3.4			2.0			1.6			2.3		2.7			2.6			2.0				2.0		1.4			1.9			1.9		1.8			1.8			2.0		1.8		2.9			0.046
д'	2.8		3.9			2.6		2.5				2.2		2.0			3.6			3.2		2.3			2.2			2.7			3.0			2.8		2.1			2.8			3.5				2.2		3.2			2.3			2.7		4.3			2.6			1.4		3.4		2.3			0.017
ж	3.7		2.4			4.0		3.2				3.8		3.0			4.0			2.5		2.3			3.4			4.0			4.5			4.0		2.7			4.3			3.6				2.9		3.4			3.5			2.9		3.0			1.9			4.1		2.3		3.2			0.008
ж'	3.7		2.4			4.0		3.2				3.8		3.0			4.0			2.5		2.3			3.4			4.0			4.5			4.0		2.7			4.3			3.6				2.9		3.4			3.5			2.9		3.0			1.9			4.1		2.3		3.2			0.008
й	2.9		3.8			3.1		3.2				2.6		2.2			3.9			3.2		2.6			1.8			2.8			3.4			2.5		2.6			2.4			3.0				2.4		3.2			2.9			2.7		4.1			3.2			3.3		3.0		1.9			0.013
ю	1.8		3.1			1.9		1.6				2.3		3.4			2.6			3.8		2.8			3.6			1.6			2.4			2.1		2.5			2.0			2.8				2.5		2.0			2.5			3.2		2.6			2.8			2.2		3.4		3.2			0.004
ю\	1.8		3.1			1.9		1.6				2.3		3.4			2.6			3.8		2.8			3.6			1.6			2.4			2.1		2.5			2.0			2.8				2.5		2.0			2.5			3.2		2.6			2.8			2.2		3.4		3.2			0.002
р'	2.6		3.4			3.2		2.9				2.9		2.1			3.7			3.0		2.7			2.4			3.6			4.0			3.3		2.4			3.4			2.8				1.8		4.0			1.9			2.1		3.5			2.5			3.3		2.5		2.1			0.014
ш	4.0		3.2			3.2		2.8				4.3		3.6			3.1			3.4		2.8			3.1			3.5			4.1			3.4		3.6			4.2			4.0				4.5		3.5			3.8			4.7		3.3			3.3			3.4		2.6		3.5			0.012
ш'	4.0		3.2			3.2		2.8				4.3		3.6			3.1			3.4		2.8			3.1			3.5			4.1			3.4		3.6			4.2			4.0				4.5		3.5			3.8			4.7		3.3			3.3			3.4		2.6		3.5			0.012
г	3.2		2.6			3.8		4.2				3.3		2.8			2.6			2.2		3.6			2.2			2.8			3.6			3.0		2.9			3.2			2.8				2.5		4.0			3.0			3.3		3.9			2.8			3.8		2.4		2.2			0.012
и	1.7		3.2			1.8		1.9				2.0		2.9			1.8			3.3		3.2			3.6			2.0			2.0			2.0		2.5			2.1			3.0				2.6		2.2			2.3			3.3		2.5			2.9			2.4		3.9		3.4			0.041
и\	1.7		3.2			1.8		1.9				2.0		2.9			1.8			3.3		3.2			3.6			2.0			2.0			2.0		2.5			2.1			3.0				2.6		2.2			2.3			3.3		2.5			2.9			2.4		3.9		3.4			0.015
п'	3.6		4.6			2.4		2.2				3.3		3.6			3.5			4.4		2.6			2.4			3.6			3.5			2.9		3.4			2.4			4.0				4.4		3.5			4.0			4.8		4.6			4.1			2.2		4.3		2.5			0.006
р	2.9		2.1			4.6		4.7				3.8		2.0			3.1			1.3		4.0			2.7			3.0			4.0			4.1		2.6			4.6			1.7				2.1		4.0			2.7			1.8		2.5			1.4			4.0		1.5		2.0			0.024
г'	3.6		3.9			2.6		2.8				2.9		2.9			3.5			3.0		2.4			2.4			2.9			3.2			2.9		2.5			2.3			3.8				2.3		3.6			2.7			2.9		3.9			3.4			3.0		3.3		2.6			0.003
ё	2.3		2.9			2.4		2.2				2.5		3.4			1.8			2.8		2.9			3.7			2.1			2.5			2.6		2.7			2.1			2.7				2.5		2.5			2.6			2.5		2.2			2.4			2.2		2.6		3.3			0.037
ё\	2.3		2.9			2.4		2.2				2.5		3.4			1.8			2.8		2.9			3.7			2.1			2.5			2.6		2.7			2.1			2.7				2.5		2.5			2.6			2.5		2.2			2.4			2.2		2.6		3.3			0.037
з	3.1		2.9			3.5		3.5				2.5		2.8			3.0			2.2		3.6			2.7			3.2			4.0			3.2		2.4			3.6			2.8				2.5		3.5			2.5			2.5		2.9			2.9			3.7		2.9		3.1			0.013
с'	3.8		4.3			2.0		2.0				2.4		3.5			3.8			4.2		3.1			3.1			3.2			3.5			2.1		3.1			2.8			4.2				3.8		3.0			3.6			4.3		3.6			4.5			3.1		4.3		3.0			0.017
в'	3.4		3.1			2.4		2.6				2.8		3.2			3.7			3.1		2.5			3.0			3.1			3.0			2.6		2.7			2.6			2.8				2.7		3.0			2.6			3.0		3.9			3.6			2.7		3.1		2.7			0.011
ц	4.0		3.7			3.2		3.3				3.5		3.4			3.4			3.8		3.6			2.3			3.1			3.9			3.1		3.7			3.3			3.8				3.6		3.9			3.5			4.3		4.0			3.7			3.6		3.6		2.5			0.004
ц'	4.0		3.7			3.2		3.3				3.5		3.4			3.4			3.8		3.6			2.3			3.1			3.9			3.1		3.7			3.3			3.8				3.6		3.9			3.5			4.3		4.0			3.7			3.6		3.6		2.5			0.004
э	2.0		1.8			3.4		3.6				2.5		3.6			2.2			2.3		3.6			3.7			2.1			2.2			2.7		3.0			2.2			2.1				2.5		2.0			2.6			2.2		2.2			2.2			2.6		2.6		3.5			0.004
э\	2.0		1.8			3.4		3.6				2.5		3.6			2.2			2.3		3.6			3.7			2.1			2.2			2.7		3.0			2.2			2.1				2.5		2.0			2.6			2.2		2.2			2.2			2.6		2.6		3.5			0.001
м	2.5		2.5			3.2		3.5				3.3		4.0			3.1			3.2		3.8			3.7			3.5			2.8			3.8		3.6			2.4			3.0				3.6		3.1			3.9			3.1		3.3			3.3			2.7		2.2		4.1			0.025
б'	3.0		3.1			2.6		2.8				2.6		3.0			3.4			3.5		2.9			2.2			3.6			3.2			2.5		2.1			2.3			3.2				2.3		3.0			2.8			2.9		3.9			3.2			2.7		3.4		2.3			0.005
х'	4.3		4.1			2.5		2.2				3.5		4.4			3.8			4.6		2.4			3.5			4.1			3.8			3.1		3.4			3.8			4.5				4.3		3.2			4.0			4.7		4.0			4.4			3.1		4.5		3.7			0.001
к	3.0		3.3			3.6		3.5				3.6		2.8			3.4			3.7		3.4			2.0			3.4			4.2			3.0		3.4			3.8			3.3				4.0		4.4			3.8			3.9		4.4			3.3			3.2		3.8		2.0			0.030
т'	3.3		4.1			2.2		2.4				3.6		3.2			3.7			4.2		2.3			2.5			2.9			3.8			2.9		3.3			3.2			3.4				3.9		3.5			3.8			4.4		4.3			4.0			2.7		4.2		2.7			0.020
я	1.8		2.1			2.7		3.6				1.9		2.6			1.8			1.7		3.0			3.2			1.9			2.2			2.1		2.5			2.1			2.1				1.6		2.0			1.8			2.2		3.0			1.6			2.4		2.0		3.0			0.013
